image_name,action_high_model_uncertainty,action_high_data_uncertainty,model_uncertainty,data_uncertainty,missed_reasons,excessive_reasons
75ae7100-4e5b91c9,"[0, 2, 3]",[1],"[1.0, 0.18830761313438416, 1.0, 1.0]","[0.5303094983100891, 0.9435026049613953, 0.5303094983100891, 0.5303094983100891]",[],[]
75f16893-f84e3817,"[1, 2, 3]",[],"[0.08438050001859665, 1.0, 1.0, 1.0]","[0.7259210348129272, 0.3558994233608246, 0.3558994233608246, 0.3558994233608246]",[2],[0]
76233536-80968e54,"[0, 2, 3]",[],"[1.0, 0.07136788964271545, 1.0, 1.0]","[0.32259225845336914, 0.6720202565193176, 0.32259225845336914, 0.32259225845336914]",[],[]
76355291-93f83446,"[0, 2, 3]",[1],"[1.0, 0.19499757885932922, 1.0, 1.0]","[0.5380009412765503, 0.9499648809432983, 0.5380009412765503, 0.5380009412765503]",[],[]
76549a83-4bbd8016,"[0, 2, 3]",[1],"[1.0, 0.1292923241853714, 1.0, 1.0]","[0.4469250440597534, 0.8547345399856567, 0.4469250440597534, 0.4469250440597534]",[],[]
76bf1399-f2406ac2,"[0, 2]",[1],"[1.0, 0.11657948046922684, 1.0, 0.6999233365058899]","[0.4136591851711273, 0.8629311323165894, 0.4136591851711273, 0.5264666676521301]",[],[]
76c57ade-ec340177,"[0, 2, 3]",[1],"[1.0, 0.408348023891449, 1.0, 1.0]","[0.6877248883247375, 0.9926083087921143, 0.6877248883247375, 0.6877248883247375]",[],[]
78311ed1-b46b8187,"[0, 2, 3]",[1],"[1.0, 0.13394439220428467, 1.0, 1.0]","[0.45472681522369385, 0.8643522262573242, 0.45472681522369385, 0.45472681522369385]",[],[]
7852b378-e1672ef4,"[0, 2, 3]",[],"[1.0, 0.08879263699054718, 1.0, 1.0]","[0.3663542866706848, 0.7421441078186035, 0.3663542866706848, 0.3663542866706848]",[],[]
7861dd47-fdb027e8,"[0, 2, 3]",[1],"[1.0, 0.1246882751584053, 1.0, 1.0]","[0.4389486312866211, 0.8446496725082397, 0.4389486312866211, 0.4389486312866211]",[3],[]
7899f781-4baf454d,"[0, 2, 3]",[],"[1.0, 0.09990479052066803, 1.0, 1.0]","[0.3910415470600128, 0.7790560722351074, 0.3910415470600128, 0.3910415470600128]",[],[]
78e7bc1b-7253e14b,"[0, 2, 3]",[],"[1.0, 0.08837670832872391, 1.0, 1.0]","[0.36538535356521606, 0.7406551837921143, 0.36538535356521606, 0.36538535356521606]",[],[]
793871d7-82ca5745,"[1, 3]","[0, 2]","[0.0871478021144867, 1.0, 0.1320810467004776, 1.0]","[0.99409019947052, 0.2757467031478882, 0.9424698948860168, 0.2757467031478882]","[1, 3]",[0]
79b0610d-cb2d3316,"[0, 1, 3]",[2],"[1.0, 1.0, 0.4562039077281952, 1.0]","[0.7068870067596436, 0.7068870067596436, 0.9824587106704712, 0.7068870067596436]",[1],[2]
79fbe809-3c0a0517,"[1, 2, 3]",[0],"[0.7844100594520569, 1.0, 1.0, 1.0]","[0.8791040182113647, 0.7847938537597656, 0.7847938537597656, 0.7847938537597656]",[3],[]
7a31c869-9d93e812,"[1, 3]","[0, 2]","[0.2340496927499771, 1.0, 0.13551704585552216, 1.0]","[0.8965731263160706, 0.37793928384780884, 0.9952555894851685, 0.37793928384780884]","[1, 3]",[0]
7a536ea9-85f8767e,"[0, 2, 3]",[],"[1.0, 0.05264706909656525, 1.0, 1.0]","[0.26681578159332275, 0.5747280716896057, 0.26681578159332275, 0.26681578159332275]",[],[]
7a8a4e98-ea28816f,"[1, 3]","[0, 2]","[0.41946887969970703, 1.0, 0.5423930287361145, 1.0]","[0.9599981307983398, 0.6356815695762634, 0.8764059543609619, 0.6356815695762634]",[1],"[0, 2]"
7a9d6ddb-f6db12be,"[1, 3]",[2],"[0.7535450458526611, 1.0, 0.3442392647266388, 1.0]","[0.7470695972442627, 0.635412871837616, 0.9966882467269897, 0.635412871837616]",[3],[2]
7abc9a80-8d07d2de,"[0, 2]","[1, 3]","[1.0, 0.1992695927619934, 1.0, 0.1593921035528183]","[0.3851529359817505, 0.9562863111495972, 0.3851529359817505, 0.997735857963562]",[0],"[1, 3]"
7b14bbce-31f9cbd3,"[0, 3]",[1],"[1.0, 0.11559483408927917, 0.7069710493087769, 1.0]","[0.4122524857521057, 0.8595041632652283, 0.5213601589202881, 0.4122524857521057]",[],[2]
7b256b6e-893db16e,"[0, 2, 3]",[],"[1.0, 0.0881318598985672, 1.0, 1.0]","[0.3648134171962738, 0.7397748231887817, 0.3648134171962738, 0.3648134171962738]",[0],[1]
7b2c55a4-17647e4a,"[0, 2]",[1],"[1.0, 0.13476194441318512, 1.0, 0.5296816229820251]","[0.43120652437210083, 0.9284162521362305, 0.43120652437210083, 0.6506770849227905]",[],[3]
7b426bf3-cceb9ca1,"[0, 2]",[3],"[1.0, 0.49761962890625, 1.0, 0.12507784366607666]","[0.41370663046836853, 0.6517221331596375, 0.41370663046836853, 0.9189639687538147]",[],[3]
7b426bf3-fe11ad9d,"[0, 2, 3]",[1],"[1.0, 0.43683189153671265, 1.0, 1.0]","[0.6995096206665039, 0.9869334697723389, 0.6995096206665039, 0.6995096206665039]",[],[]
7b47f738-5d750dce,[0],"[2, 3]","[1.0, 0.36594128608703613, 0.23337356746196747, 0.26159223914146423]","[0.4176909029483795, 0.779390811920166, 0.9442445039749146, 0.9074602127075195]",[0],"[1, 2]"
7b63bc0c-97deada4,"[1, 3]","[0, 2]","[0.2572866380214691, 1.0, 0.48812445998191833, 1.0]","[0.999699592590332, 0.5464155077934265, 0.8239688873291016, 0.5464155077934265]",[1],"[0, 2]"
7bdee11f-23841c2d,"[0, 2, 3]",[1],"[1.0, 0.315850168466568, 1.0, 1.0]","[0.6394950151443481, 0.9994767308235168, 0.6394950151443481, 0.6394950151443481]",[],[]
7bf5c778-8f54e1a3,"[0, 2, 3]",[],"[1.0, 0.07453460246324539, 1.0, 1.0]","[0.3310624957084656, 0.6860389113426208, 0.3310624957084656, 0.3310624957084656]",[],[]
7c9be622-deef7ea2,"[0, 2]",[1],"[1.0, 0.1412734091281891, 1.0, 0.5108770132064819]","[0.4385140538215637, 0.9415109753608704, 0.4385140538215637, 0.6742861270904541]",[],[3]
7ccd8523-b02440c2,"[1, 3]","[0, 2]","[0.16612569987773895, 1.0, 0.155422642827034, 1.0]","[0.9797747135162354, 0.3628818988800049, 0.9913027286529541, 0.3628818988800049]",[],[]
7d1a9525-f4bdb4c4,"[0, 1, 3]",[2],"[1.0, 1.0, 0.46972161531448364, 1.0]","[0.711759090423584, 0.711759090423584, 0.9790918827056885, 0.711759090423584]",[1],[]
7d3a21b4-50ff86e2,"[0, 2, 3]",[1],"[1.0, 0.11073382198810577, 1.0, 1.0]","[0.41308164596557617, 0.8102666139602661, 0.41308164596557617, 0.41308164596557617]",[3],[]
7dacf578-dfd9df7f,"[0, 2]",[3],"[1.0, 0.4639577865600586, 1.0, 0.18725810945034027]","[0.48561161756515503, 0.7727205753326416, 0.48561161756515503, 0.9887393712997437]",[],[3]
7e45be30-dcfc1077,"[0, 2, 3]",[1],"[1.0, 0.3356598913669586, 1.0, 1.0]","[0.6513664722442627, 0.9999912977218628, 0.6513664722442627, 0.6513664722442627]",[],[]
7e6a71ed-678c99b2,"[0, 2]","[1, 3]","[1.0, 0.3203738033771515, 1.0, 0.35608774423599243]","[0.5466695427894592, 0.967102587223053, 0.5466695427894592, 0.9377210140228271]",[],[3]
7e8b11fe-8e470f0a,"[0, 2, 3]",[1],"[1.0, 0.1790146380662918, 1.0, 1.0]","[0.5191188454627991, 0.9335315227508545, 0.5191188454627991, 0.5191188454627991]","[0, 3]",[1]
7ea134dd-a92ea941,"[0, 2, 3]",[],"[1.0, 0.09983810782432556, 1.0, 1.0]","[0.3908998966217041, 0.7788501977920532, 0.3908998966217041, 0.3908998966217041]",[3],[]
7eb315b6-98a543cf,"[1, 2, 3]",[0],"[0.21355026960372925, 1.0, 1.0, 1.0]","[0.9651123285293579, 0.5578821301460266, 0.5578821301460266, 0.5578821301460266]","[2, 3]",[]
7ec1239d-944d215c,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 2, 3]",[]
7ed5faff-39e89502,"[0, 2, 3]",[],"[1.0, 0.08948873728513718, 1.0, 1.0]","[0.36796826124191284, 0.7446178197860718, 0.36796826124191284, 0.36796826124191284]",[],[]
7efa73c8-82ef655b,"[0, 2]","[1, 3]","[1.0, 0.05485112592577934, 1.0, 0.11662624031305313]","[0.21751472353935242, 0.9484159350395203, 0.21751472353935242, 0.8784173727035522]",[],[3]
7f282094-890af522,"[0, 2, 3]",[1],"[1.0, 0.15325959026813507, 1.0, 1.0]","[0.4846113324165344, 0.8988214731216431, 0.4846113324165344, 0.4846113324165344]",[0],[1]
7f35db1c-e58517e9,"[0, 2]","[1, 3]","[1.0, 0.11196385324001312, 1.0, 0.1200929805636406]","[0.2945209741592407, 0.996209442615509, 0.2945209741592407, 0.9867653846740723]",[],[]
7f3e059f-2c147bc6,"[0, 2, 3]",[1],"[1.0, 0.3394578695297241, 1.0, 1.0]","[0.6535333395004272, 0.9999402761459351, 0.6535333395004272, 0.6535333395004272]",[3],[]
7f48e05c-bf278649,"[0, 2, 3]",[1],"[1.0, 0.4095907509326935, 1.0, 1.0]","[0.6882642507553101, 0.9923864603042603, 0.6882642507553101, 0.6882642507553101]",[],[]
7f5c68f2-d7625274,"[1, 2]","[0, 3]","[0.2566298246383667, 1.0, 1.0, 0.22182199358940125]","[0.9540698528289795, 0.45654070377349854, 0.45654070377349854, 0.9871147871017456]",[],[]
80233ab1-221584ca,"[0, 1, 3]",[2],"[1.0, 1.0, 0.21137306094169617, 1.0]","[0.555652379989624, 0.555652379989624, 0.9635293483734131, 0.555652379989624]",[0],[]
80233ab1-29289eff,"[1, 2, 3]",[0],"[0.10925864428281784, 1.0, 1.0, 1.0]","[0.8062646985054016, 0.4101865887641907, 0.4101865887641907, 0.4101865887641907]",[],[]
802f36bf-bf1e3214,"[0, 2, 3]",[1],"[1.0, 0.17518886923789978, 1.0, 1.0]","[0.5143305063247681, 0.9290654063224792, 0.5143305063247681, 0.5143305063247681]",[0],[1]
80ac266a-badd6770,"[0, 2, 3]",[1],"[1.0, 0.16101178526878357, 1.0, 1.0]","[0.49558472633361816, 0.9104802012443542, 0.49558472633361816, 0.49558472633361816]","[0, 3]",[1]
80ce1413-656babeb,[1],"[0, 2]","[0.08044157177209854, 1.0, 0.06352566927671432, 0.5211984515190125]","[0.9708508253097534, 0.20512542128562927, 0.9998855590820312, 0.3341940641403198]",[],[]
80d72f8b-be698f32,"[1, 2, 3]",[0],"[0.5332224369049072, 1.0, 1.0, 1.0]","[0.9612699747085571, 0.7320346236228943, 0.7320346236228943, 0.7320346236228943]",[3],[]
81079dfa-d9218402,"[0, 2, 3]",[],"[1.0, 0.0988406240940094, 1.0, 1.0]","[0.3887728154659271, 0.7757481336593628, 0.3887728154659271, 0.3887728154659271]",[0],[]
810eec76-f7ea27e6,"[0, 2, 3]",[1],"[1.0, 0.36668574810028076, 1.0, 1.0]","[0.6681370139122009, 0.9983618855476379, 0.6681370139122009, 0.6681370139122009]",[],[]
8175603a-98f4839f,"[0, 2]","[1, 3]","[1.0, 0.20128552615642548, 1.0, 0.26985979080200195]","[0.4486624002456665, 0.9965528249740601, 0.4486624002456665, 0.9315186738967896]",[],[3]
81825b60-84dace1d,[1],"[0, 3]","[0.1988188922405243, 1.0, 0.48885390162467957, 0.36624184250831604]","[0.9965561032295227, 0.4449028968811035, 0.7000191807746887, 0.8155043125152588]",[1],"[0, 2]"
81a98a9a-dee60aab,"[0, 2]","[1, 3]","[1.0, 0.1150897741317749, 1.0, 0.17131787538528442]","[0.32946932315826416, 0.9980829358100891, 0.32946932315826416, 0.9369003176689148]",[],[3]
82124e5e-dff89a64,"[0, 2, 3]",[],"[1.0, 0.05763885751366615, 1.0, 1.0]","[0.28273874521255493, 0.6033573150634766, 0.28273874521255493, 0.28273874521255493]",[],[]
82138ed8-322f3a6b,"[1, 3]","[0, 2]","[0.18934470415115356, 1.0, 0.1257079392671585, 1.0]","[0.9310227632522583, 0.3494099974632263, 0.9985897541046143, 0.3494099974632263]",[],[2]
823e0e24-f46c741d,"[0, 2]",[1],"[1.0, 0.09654553234577179, 1.0, 0.368304044008255]","[0.35212963819503784, 0.8964037895202637, 0.35212963819503784, 0.68036949634552]",[],[]
8249c3a6-992ae0ba,"[0, 2]",[1],"[1.0, 0.10667169839143753, 1.0, 0.3090062141418457]","[0.36008548736572266, 0.9413293600082397, 0.36008548736572266, 0.7628848552703857]",[2],"[1, 3]"
8281391f-573ed19c,"[1, 3]",[0],"[0.13494566082954407, 1.0, 0.5670745372772217, 0.822727620601654]","[0.9334906339645386, 0.4290894567966461, 0.6218034625053406, 0.4899434745311737]",[],[3]
82ae0687-971029b2,"[0, 2, 3]",[1],"[1.0, 0.19697193801403046, 1.0, 1.0]","[0.5402154922485352, 0.951764702796936, 0.5402154922485352, 0.5402154922485352]",[],[]
82e28f9b-192f676e,"[0, 2, 3]",[],"[1.0, 0.10151302069425583, 1.0, 1.0]","[0.394433856010437, 0.7839697599411011, 0.394433856010437, 0.394433856010437]",[],[]
8304bb5a-bd65e505,"[0, 3]",[1],"[1.0, 0.19089747965335846, 0.5592487454414368, 1.0]","[0.5022779703140259, 0.9812973737716675, 0.7181023359298706, 0.5022779703140259]","[0, 3]","[1, 2]"
83053dc7-9f9c9308,"[1, 3]","[0, 2]","[0.3649042248725891, 1.0, 0.59673011302948, 1.0]","[0.9846154451370239, 0.6242990493774414, 0.8285229206085205, 0.6242990493774414]",[],[2]
830dcf0f-eabda256,"[0, 2]","[1, 3]","[1.0, 0.4459584653377533, 1.0, 0.5473669767379761]","[0.6455855369567871, 0.9502567648887634, 0.6455855369567871, 0.8825241923332214]",[],[3]
836e9e5b-093dac45,"[1, 2, 3]",[0],"[0.13145114481449127, 1.0, 1.0, 1.0]","[0.8592672348022461, 0.45057690143585205, 0.45057690143585205, 0.45057690143585205]",[1],[0]
838a1049-8a8e8fd2,"[0, 2, 3]",[],"[1.0, 0.0782323107123375, 1.0, 1.0]","[0.3406469225883484, 0.701648473739624, 0.3406469225883484, 0.3406469225883484]",[],[]
83cbad77-9d021220,[1],"[0, 2]","[0.10269861668348312, 1.0, 0.19890804588794708, 0.3875030279159546]","[0.9972655177116394, 0.30525410175323486, 0.8472100496292114, 0.5859895348548889]",[],[2]
83d5ac2f-379e9d67,"[0, 2, 3]",[1],"[1.0, 0.22457650303840637, 1.0, 1.0]","[0.5687841773033142, 0.9724124073982239, 0.5687841773033142, 0.5687841773033142]","[0, 2]",[1]
83f39066-8481b79e,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[1, 2]",[]
84082729-ef76f9ca,"[0, 3]","[1, 2]","[1.0, 0.3409477472305298, 0.14560776948928833, 1.0]","[0.41866543889045715, 0.8089610934257507, 0.9805220365524292, 0.41866543889045715]",[0],"[1, 2]"
842f4764-8b0bb61e,[1],"[0, 2]","[0.26104119420051575, 1.0, 0.1770590841770172, 0.34193673729896545]","[0.8632524609565735, 0.38289374113082886, 0.9820911288261414, 0.7568598985671997]",[],"[0, 2, 3]"
8439e549-4ec6689c,"[0, 2, 3]",[],"[1.0, 0.07219751179218292, 1.0, 1.0]","[0.32483547925949097, 0.6757529973983765, 0.32483547925949097, 0.32483547925949097]",[],[]
844c91e0-6b1f5f4d,"[0, 1, 3]",[2],"[1.0, 0.9404807686805725, 0.3301858603954315, 1.0]","[0.6441525220870972, 0.6679888963699341, 0.9999765753746033, 0.6441525220870972]",[],[]
8488476c-8aa5a038,"[0, 2, 3]",[1],"[1.0, 0.16524606943130493, 1.0, 1.0]","[0.5013558864593506, 0.9163845777511597, 0.5013558864593506, 0.5013558864593506]",[],[]
849b9037-0d888569,"[0, 2]","[1, 3]","[1.0, 0.20585152506828308, 1.0, 0.3113940954208374]","[0.4668121933937073, 0.999110758304596, 0.4668121933937073, 0.903212308883667]",[],[3]
84b9a242-df271c64,"[0, 2, 3]",[1],"[1.0, 0.13902547955513, 1.0, 1.0]","[0.46296679973602295, 0.8742386698722839, 0.46296679973602295, 0.46296679973602295]",[0],[1]
84f900b9-d47c5543,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]",[0],[]
8526a3b2-e4c50439,"[0, 2, 3]",[1],"[1.0, 0.35478344559669495, 0.8345481157302856, 1.0]","[0.6489360332489014, 0.9971264600753784, 0.7202223539352417, 0.6489360332489014]",[0],"[1, 2]"
85ad028a-954ed96c,[1],"[0, 3]","[0.18663673102855682, 1.0, 0.4169343113899231, 0.3274397552013397]","[0.9937965869903564, 0.41842663288116455, 0.7280440330505371, 0.8246023058891296]",[1],"[0, 2, 3]"
85bbde1b-6b4202b3,"[0, 2, 3]",[1],"[1.0, 0.13207358121871948, 1.0, 1.0]","[0.4516196846961975, 0.8605514764785767, 0.4516196846961975, 0.4516196846961975]",[],[]
85c8975a-3f051678,"[1, 3]",[0],"[0.10019002854824066, 1.0, 0.4415825605392456, 1.0]","[0.8805084228515625, 0.3666585385799408, 0.631832480430603, 0.3666585385799408]",[],[]
85f3f250-54a41fc1,"[0, 2]",[1],"[1.0, 0.09342731535434723, 1.0, 0.4355947971343994]","[0.3533725142478943, 0.8640196323394775, 0.3533725142478943, 0.6174339652061462]",[],[3]
863c064e-28571271,"[1, 3]","[0, 2]","[0.21540920436382294, 1.0, 0.2644369602203369, 1.0]","[0.9913658499717712, 0.4559692144393921, 0.9449681639671326, 0.4559692144393921]",[1],[0]
86b6e852-c72e158d,"[0, 2, 3]",[1],"[1.0, 0.35187268257141113, 1.0, 1.0]","[0.6603881120681763, 0.9994717836380005, 0.6603881120681763, 0.6603881120681763]",[],[]
87a22ef5-f041985a,"[0, 2, 3]",[1],"[1.0, 0.15084308385849, 1.0, 1.0]","[0.4810779094696045, 0.8949496746063232, 0.4810779094696045, 0.4810779094696045]",[2],[]
87b2227d-c7e95058,"[0, 2, 3]",[],"[1.0, 0.063815176486969, 1.0, 1.0]","[0.30133602023124695, 0.6359421014785767, 0.30133602023124695, 0.30133602023124695]",[],[]
87c7888c-1a5ff24c,"[0, 1]","[2, 3]","[1.0, 1.0, 0.6277808547019958, 0.6164398193359375]","[0.7051174640655518, 0.7051174640655518, 0.8878400921821594, 0.8943931460380554]",[1],[2]
87ca2979-da874eeb,[1],"[0, 3]","[0.2637285888195038, 1.0, 0.5252801179885864, 0.2244240641593933]","[0.924845278263092, 0.43538427352905273, 0.6593458652496338, 0.9707035422325134]",[1],"[0, 2, 3]"
87d19144-36929a5f,"[0, 2]","[1, 3]","[1.0, 0.3101344108581543, 1.0, 0.20944082736968994]","[0.46902644634246826, 0.9070497155189514, 0.46902644634246826, 0.9985398650169373]","[0, 2]",[1]
8883946f-efdb99dd,"[0, 2]","[1, 3]","[1.0, 0.15285703539848328, 1.0, 0.18245577812194824]","[0.3708016574382782, 0.9967650175094604, 0.3708016574382782, 0.9653437733650208]",[0],"[1, 3]"
88c9e18c-d410470b,"[0, 2]",[],"[1.0, 0.07366947084665298, 1.0, 0.6393823623657227]","[0.32085731625556946, 0.737560510635376, 0.32085731625556946, 0.4406580924987793]",[],[3]
88ceb23f-e2764808,"[1, 3]","[0, 2]","[0.15565921366214752, 1.0, 0.27655965089797974, 1.0]","[0.9967454075813293, 0.4128548800945282, 0.8816776275634766, 0.4128548800945282]",[1],[0]
89865c40-d8d132a8,"[0, 2]",[1],"[1.0, 0.19695213437080383, 1.0, 0.4591904580593109]","[0.4940008521080017, 0.9931735396385193, 0.4940008521080017, 0.7871394157409668]",[],[3]
899bd573-8e05e307,"[0, 2, 3]",[1],"[1.0, 0.4288434386253357, 1.0, 1.0]","[0.6963223218917847, 0.9886427521705627, 0.6963223218917847, 0.6963223218917847]",[],[]
89a9f80f-7db7e69a,"[0, 1, 2, 3]","[0, 1, 2, 3]","[1.0, 1.0, 1.0, 1.0]","[0.8112781047821045, 0.8112781047821045, 0.8112781047821045, 0.8112781047821045]","[0, 2]",[]
89eb1df1-83c93b21,"[1, 3]","[0, 2]","[0.2521803379058838, 1.0, 0.1729070395231247, 1.0]","[0.9224206209182739, 0.41994908452033997, 0.999826967716217, 0.41994908452033997]",[3],[]
8a1583e5-56aed33f,"[0, 2, 3]",[1],"[1.0, 0.1641770601272583, 1.0, 1.0]","[0.49991315603256226, 0.9149235486984253, 0.49991315603256226, 0.49991315603256226]",[],[]
8a3008f1-d64506e0,"[1, 2, 3]",[0],"[0.46665680408477783, 1.0, 1.0, 1.0]","[0.9798712730407715, 0.7106733322143555, 0.7106733322143555, 0.7106733322143555]",[1],[0]
8a51b26a-9f6d5183,"[0, 2, 3]",[1],"[1.0, 0.42930907011032104, 1.0, 1.0]","[0.6965105533599854, 0.9885454177856445, 0.6965105533599854, 0.6965105533599854]",[0],[1]
8a5995a3-1ac5dd1d,"[0, 2, 3]",[1],"[1.0, 0.36864396929740906, 1.0, 1.0]","[0.6691282987594604, 0.9981740117073059, 0.6691282987594604, 0.6691282987594604]",[2],[1]
8a6171db-70ef5190,"[0, 2, 3]",[1],"[1.0, 0.2032662183046341, 1.0, 1.0]","[0.5471138954162598, 0.95719313621521, 0.5471138954162598, 0.5471138954162598]",[],[]
8a6dc8bd-ba6fc51d,"[1, 3]","[0, 2]","[0.4821958541870117, 1.0, 0.48624876141548157, 1.0]","[0.9231715202331543, 0.6417247653007507, 0.9204165935516357, 0.6417247653007507]",[3],[2]
8ab9f666-6ad2d17a,"[1, 3]","[0, 2]","[0.1356164962053299, 1.0, 0.21074527502059937, 1.0]","[0.9985693693161011, 0.36900433897972107, 0.9210193157196045, 0.36900433897972107]","[1, 3]","[0, 2]"
8b0331e4-12abe2a2,"[0, 2, 3]",[1],"[1.0, 0.1927473545074463, 1.0, 1.0]","[0.5354466438293457, 0.9478548765182495, 0.5354466438293457, 0.5354466438293457]",[],[]
8b1b78f5-07d17f8b,"[0, 2, 3]",[1],"[1.0, 0.3430960476398468, 1.0, 1.0]","[0.6555778384208679, 0.999849796295166, 0.6555778384208679, 0.6555778384208679]",[0],[1]
8b48acc3-7f1b9397,"[0, 2, 3]",[],"[1.0, 0.08765964210033417, 1.0, 1.0]","[0.3637069761753082, 0.738068699836731, 0.3637069761753082, 0.3637069761753082]",[],[]
8b698ae2-81ec4568,"[0, 2, 3]",[],"[1.0, 0.09899906069040298, 1.0, 1.0]","[0.38911172747612, 0.7762434482574463, 0.38911172747612, 0.38911172747612]",[],[]
8b698ae2-e407c138,"[0, 1, 2]",[3],"[1.0, 0.8166031241416931, 1.0, 0.1717061549425125]","[0.5014695525169373, 0.571892261505127, 0.5014695525169373, 0.9396263360977173]",[],[3]
8b82c600-138f94fe,[0],[3],"[1.0, 0.3479801416397095, 0.5477896928787231, 0.1175084114074707]","[0.36732739210128784, 0.7263916730880737, 0.5532373785972595, 0.9715865850448608]",[0],"[1, 2, 3]"
8bf799f2-af5c9d65,"[0, 1, 3]",[2],"[1.0, 1.0, 0.2203681319952011, 1.0]","[0.5646981596946716, 0.5646981596946716, 0.9697632193565369, 0.5646981596946716]","[0, 3]",[2]
8c57f037-3d8694be,"[1, 3]","[0, 2]","[0.23916319012641907, 1.0, 0.11080088466405869, 1.0]","[0.8484997749328613, 0.34990382194519043, 0.9746198654174805, 0.34990382194519043]",[1],[0]
8caa0505-92c2468f,"[0, 2, 3]",[1],"[1.0, 0.15127317607402802, 1.0, 1.0]","[0.481710821390152, 0.8956472873687744, 0.481710821390152, 0.481710821390152]",[],[]
8cd7b842-8b1a1aad,"[0, 3]",[1],"[1.0, 0.17349836230278015, 0.7381690144538879, 1.0]","[0.49891310930252075, 0.9490482807159424, 0.606243371963501, 0.49891310930252075]",[3],[]
8d0cacc1-4505f07a,"[1, 3]",[],"[0.05759883671998978, 1.0, 0.3649187684059143, 1.0]","[0.749954342842102, 0.2658446729183197, 0.5407138466835022, 0.2658446729183197]",[],[2]
8d62a6ae-68d8b040,"[1, 3]","[0, 2]","[0.31098493933677673, 1.0, 0.1436607837677002, 1.0]","[0.8328455686569214, 0.4096258282661438, 0.985129714012146, 0.4096258282661438]",[1],[0]
8dd37fd7-94bd005a,"[0, 2, 3]",[1],"[1.0, 0.1216132864356041, 1.0, 1.0]","[0.4334734380245209, 0.8375829458236694, 0.4334734380245209, 0.4334734380245209]",[],[]
8dd4822a-f83797eb,"[0, 2]",[1],"[1.0, 0.14719656109809875, 1.0, 0.36778029799461365]","[0.42590439319610596, 0.9764469861984253, 0.42590439319610596, 0.7886235117912292]",[],[3]
8e0572f0-7330c6d6,"[1, 2]","[0, 3]","[0.24668528139591217, 1.0, 1.0, 0.13199356198310852]","[0.8781097531318665, 0.37836939096450806, 0.37836939096450806, 0.990981936454773]",[],[]
8e8e4dc4-337a2821,[1],"[0, 3]","[0.1943916529417038, 1.0, 0.4044720530509949, 0.2016095519065857]","[0.9572637677192688, 0.3794199228286743, 0.6846563816070557, 0.9470251202583313]",[],[]
8e9d65ac-7f6af35f,"[0, 2, 3]",[],"[1.0, 0.057766590267419815, 1.0, 1.0]","[0.283135324716568, 0.6040617227554321, 0.283135324716568, 0.283135324716568]",[],[]
8eab10ce-11719878,"[1, 2, 3]",[0],"[0.3418579697608948, 1.0, 1.0, 1.0]","[0.9998849630355835, 0.6548854112625122, 0.6548854112625122, 0.6548854112625122]",[2],[0]
8edff4ef-2549981d,"[1, 2, 3]",[0],"[0.4227554202079773, 1.0, 1.0, 1.0]","[0.9898864030838013, 0.6938332319259644, 0.6938332319259644, 0.6938332319259644]",[3],[]
8f12b06a-9ced1d04,"[0, 2, 3]",[],"[1.0, 0.06333509832620621, 1.0, 1.0]","[0.29993146657943726, 0.6335136294364929, 0.29993146657943726, 0.29993146657943726]",[],[]
8f12b06a-be77f511,"[0, 3]","[1, 2]","[1.0, 0.19550129771232605, 0.3328196108341217, 1.0]","[0.46523523330688477, 0.9999141097068787, 0.877480149269104, 0.46523523330688477]",[],[2]
8f61f4f7-45e4e14e,"[0, 2, 3]",[1],"[1.0, 0.1802910715341568, 1.0, 1.0]","[0.5206923484802246, 0.9349733591079712, 0.5206923484802246, 0.5206923484802246]",[],[]
8fb12bc8-d5b1cc8e,"[0, 2, 3]",[1],"[1.0, 0.538393497467041, 1.0, 1.0]","[0.7335186004638672, 0.959707498550415, 0.7335186004638672, 0.7335186004638672]","[0, 2, 3]",[1]
90183498-402bb676,"[1, 3]","[0, 2]","[0.3400326669216156, 1.0, 0.6045125126838684, 1.0]","[0.9915447235107422, 0.6138976812362671, 0.8125842809677124, 0.6138976812362671]","[1, 3]","[0, 2]"
90902757-f2f0d594,"[0, 2, 3]",[1],"[1.0, 0.1378851681947708, 0.8724856972694397, 1.0]","[0.456726610660553, 0.8843932151794434, 0.5005853176116943, 0.456726610660553]",[],[2]
90c02206-9c7ec816,"[1, 3]","[0, 2]","[0.36129114031791687, 1.0, 0.3868404030799866, 1.0]","[0.9554816484451294, 0.5736687183380127, 0.9354609251022339, 0.5736687183380127]",[1],"[0, 2]"
90e24545-d4cc08ed,"[1, 3]","[0, 2]","[0.1352175772190094, 1.0, 0.18782129883766174, 1.0]","[0.9999830722808838, 0.358174204826355, 0.9440906047821045, 0.358174204826355]",[3],[2]
